dataset,parameter,full_data_estimate,bootstrap_mean,bootstrap_se,ci_lower,ci_upper,n_valid
rand,beta_0_48,-0.167881549171483,-0.251350621298331,0.0946069563031394,-0.421542055641741,-0.077046823548472,500
rand,beta_0_49,0,-0.0951188908668408,0.0937945185070444,-0.263941022031916,0.0761274319008222,500
rand,beta_0_50,0,-0.280145135752804,0.200151600072919,-0.538207120836905,0,500
rand,beta_0_51,0,-0.144017053264684,0.372525234133298,-1.44136128724887,0,500
rand,beta_0_52,-0.132489066359197,-1.15659991707563,0.689442348353507,-1.95215483181697,0,500
rand,beta_0_53,-0.280971180325039,-0.530112162757623,0.428641598532857,-1.1172392078215,0,500
rand,beta_0_54,-1.07359159354769,-1.03864373248294,0.0748735036357379,-1.10732140446343,-0.962327683148323,500
rand,intercept_1,0.54994880903462,0.0470423720961241,0.18295894144492,-0.302902629599172,0.397382552873517,500
rand,beta_1_1,-0.132182213614687,-0.190947603291131,0.224399174694861,-0.649312284392141,0.0419659271890517,500
rand,beta_1_2,0,0.0518892164252697,0.0996389106386944,0,0.310314227072147,500
rand,beta_1_3,-0.258808750176592,-0.406729773703694,0.210349475780182,-0.834984367183858,0,500
rand,beta_1_4,0,0.0603306586893852,0.122482640956895,0,0.369149206955679,500
rand,beta_1_5,0,0.0812425989088529,0.120519410482345,-0.0854286443008162,0.372511022130589,500
rand,beta_1_6,0,0.0134709090727547,0.0430332473988364,0,0.153532733562133,500
rand,beta_1_7,0,0.0651559613638772,0.124279301178883,0,0.418231995990541,500
rand,beta_1_8,0,0,0,0,0,500
rand,beta_1_9,-0.194999922983576,-0.20323874682534,0.174169573370159,-0.530694410964231,0,500
rand,beta_1_10,0,-0.0396442863415744,0.0847614218848954,-0.27026885975798,0,500
rand,beta_1_11,0.14478182285693,0.146979665206225,0.0992527589586563,0,0.338414162993109,500
rand,beta_1_12,0.179126775203129,0.165770795773221,0.0861610517956221,0,0.324951502420664,500
rand,beta_1_13,0,-0.0645194776330562,0.129672998796316,-0.403218507707659,0,500
rand,beta_1_14,-0.0749231848456453,-0.0497490531249726,0.142823706818928,-0.399941146257912,0.210151325886135,500
rand,beta_1_15,0,0.0023541798462957,0.0398838257205915,0,0,500
rand,beta_1_16,-0.548709776289094,-0.441602237147139,0.175963894030971,-0.751130852977235,-0.0388174452509482,500
