dataset,families,K,nonidentical,splits_observed,bic_wins,mean_delta_bic,median_delta_bic,mean_test_loglik_per_obs,mean_test_rmse,mean_test_mae,finite_prediction_rate,stable_prediction_rate
randhealth_notmdvis_baseline,zip+zinb,2,True,3,0,24.662469735906598,22.47213998100051,-0.6510284940029539,2.590741332457443,0.8337919441284304,1.0,1.0
randhealth_notmdvis_baseline,poisson+poisson+zinb,3,True,3,0,25.60253692232891,25.37234686494685,-0.6491836884238849,2.5904963918008765,0.8383058427327755,1.0,1.0
randhealth_notmdvis_baseline,poisson+nb2+zip,3,True,3,0,31.791405527505656,30.539803827318792,-0.6486599414260382,2.590555339538253,0.83798377398469,1.0,1.0
randhealth_notmdvis_baseline,nb2+nb2+zip,3,True,3,0,31.98587351241349,27.803215376437038,-0.6488634638663727,2.5905769286359184,0.8382461655484791,1.0,1.0
randhealth_notmdvis_baseline,poisson+zip+zinb,3,True,3,0,32.273790989424015,35.86944975825554,-0.6479644236675317,2.5902296644620986,0.8365678384462208,1.0,1.0
randhealth_notmdvis_baseline,nb2+nb2+nb2,3,False,3,0,34.340824393781986,34.90363835864355,-0.6502768586101296,2.5908426254117454,0.8387360694524956,1.0,1.0
randhealth_notmdvis_baseline,poisson+nb2+zinb,3,True,3,0,36.327705388447306,34.78052330108676,-0.6453734318758274,2.5896316224497613,0.8338742510644286,1.0,1.0
randhealth_notmdvis_baseline,poisson+zinb+zinb,3,True,3,0,39.14354543911213,39.87585511264024,-0.6499997005777587,2.590733819650628,0.8355717060745672,1.0,1.0
randhealth_notmdvis_baseline,nb2+zip+zinb,3,True,3,0,45.16523210044367,44.47785242751161,-0.6515535320260949,2.5907224968793203,0.8376014298270071,1.0,1.0
randhealth_notmdvis_baseline,zip+zip+zinb,3,True,3,0,47.69645466933798,46.574203828986356,-0.649302746559972,2.590327533037753,0.8356272698536241,1.0,1.0
randhealth_notmdvis_baseline,nb2+nb2+zinb,3,True,3,0,48.116639400733526,37.631894388217916,-0.648324706952001,2.589576984811181,0.8354474841972154,1.0,1.0
randhealth_notmdvis_baseline,zip+zinb+zinb,3,True,3,0,55.66993440425389,54.24608681747122,-0.6511172667964682,2.591289757088712,0.8414484990486971,1.0,1.0
randhealth_notmdvis_baseline,zinb+zinb+zinb,3,False,3,0,62.31733815853386,60.87916293074704,-0.6523884299588784,2.5915721531549925,0.8392249002009268,1.0,1.0
randhealth_notmdvis_baseline,nb2+zinb+zinb,3,True,3,0,81.84485395300271,66.05449108486937,-0.6445817594702015,2.5897550503976476,0.8340242518654221,1.0,1.0
randhealth_notmdvis_baseline,poisson+poisson+poisson,3,False,3,0,96.97821963931892,92.79158730437757,-0.6624220088061935,2.5867203018758413,0.8184044027139364,1.0,1.0
randhealth_notmdvis_baseline,poisson+zip+zip,3,True,3,0,107.91402985028647,108.46794961356136,-0.6582832643564216,2.5847836567605427,0.8085941248808881,1.0,1.0
randhealth_notmdvis_baseline,zip+zip+zip,3,False,3,0,108.16966602034184,109.99933446823616,-0.6584961512309847,2.5847432338227896,0.8081938142503374,1.0,1.0
randhealth_notmdvis_baseline,poisson+poisson+zip,3,True,3,0,110.79005194406939,110.37503436321003,-0.6663010976372427,2.5875598351780624,0.8218448201770122,1.0,1.0
randhealth_notmdvis_baseline,nb2+zip+zip,3,True,3,0,124.47089468140591,120.61607353545332,-0.6604269757767695,2.593163952216437,0.8424695108240527,1.0,1.0
randhealth_notmdvis_baseline,poisson+zip,2,True,3,0,420.0430460618506,433.4259028335273,-0.6951666076558216,2.5872881740160873,0.8343821199651993,1.0,1.0
randhealth_notmdvis_baseline,zip+zip,2,False,3,0,420.7517758932233,435.922753362438,-0.6929931390513772,2.586924164903562,0.8327983049795246,1.0,1.0
randhealth_notmdvis_baseline,nb2,1,False,3,0,428.90323184554956,406.9773831983275,-0.6839700659118497,2.554718089796158,0.7614964009970832,1.0,1.0
randhealth_notmdvis_baseline,poisson+poisson,2,False,3,0,435.6829608189755,431.98777829602204,-0.6979212457381218,2.5872970637271764,0.8340428904216161,1.0,1.0
randhealth_notmdvis_baseline,zinb,1,False,3,0,436.92797092271,415.48058510382543,-0.6839408281222807,2.554556194148488,0.7619641294038503,1.0,1.0
randhealth_notmdvis_baseline,zip,1,False,3,0,3632.489235019533,3679.612163981252,-1.0177539475266346,2.5795812766549115,0.8371078424910011,1.0,1.0
randhealth_notmdvis_baseline,poisson,1,False,3,0,7463.668160403693,7433.158091515452,-1.3683886603052677,2.5559609580824603,0.8045145389060481,1.0,1.0
