dataset,families,K,lambda,nonidentical,splits_observed,bic_wins,mean_delta_bic,median_delta_bic,max_delta_bic,mean_test_loglik_per_obs,mean_test_rmse,mean_test_mae,mean_rmse_skill,mean_mae_skill,finite_prediction_rate,stable_prediction_rate,median_min_pi
bird_counts,nb2+nb2,2,0.0,False,3,0,998.3720210635292,1075.7376889035222,1234.4133776579183,-2.610307624281664,inf,2.0639310037361798e+301,-inf,-8.519744406447567e+298,1.0,0.0,0.39296829759883956
bird_counts,nb2+zinb,2,2.0,True,3,0,1027.2913508824884,1046.185907701867,1334.0901536319434,-2.583013793962784,inf,2.0575220250223267e+301,-inf,-9.236638770038671e+298,1.0,0.0,0.41675443250702376
bird_counts,nb2+zinb,2,5.0,True,3,0,1036.1479468473772,858.1295453182538,1577.5725395474074,-2.5832761406357827,inf,9.48478186504278e+300,-inf,-4.262242529149691e+298,1.0,0.0,0.3824242513422367
bird_counts,zinb+zinb,2,5.0,False,3,0,1048.1035436434274,798.3164324398676,1553.371556720158,-2.583228329665206,inf,9.829283048508232e+300,-inf,-4.417053426901658e+298,1.0,0.0,0.35119074989195287
bird_counts,nb2+nb2+zinb,3,25.0,True,3,0,1068.0265743355121,875.3691160025628,1929.4995455352619,-2.564722345155003,inf,3.104952694429469e+301,-inf,-1.3952942316966526e+299,1.0,0.6666666666666666,0.0683854160248397
bird_counts,nb2+nb2+zip,3,5.0,True,3,0,1113.2503066309048,1151.2632221392705,1152.6152523321507,-2.5722802739821726,inf,2.6066881239942313e+196,-inf,-1.1713856091162223e+194,1.0,0.0,0.13660791758504234
bird_counts,nb2+nb2+nb2,3,50.0,False,3,0,1137.9455150251354,986.925829431384,1466.1109461195301,-2.5726600567579836,1601.42445918407,185.99903637300554,0.2477579404737248,0.21725119430656348,1.0,1.0,0.10394372256996612
bird_counts,nb2+zinb,2,0.0,True,3,0,1195.9367088305469,1079.3679464622764,1440.9081446321215,-2.613982768502295,inf,3.0229115368648293e+301,-inf,-1.2815662200438236e+299,1.0,0.0,0.39898781097764285
bird_counts,zinb+zinb,2,10.0,False,3,0,1257.5922560606657,632.925055634747,2555.2247644292293,-2.5888479677747185,1.142039622842712e+34,7.358870642268397e+32,-4.941626713068722e+30,-2.768143573221903e+30,1.0,0.3333333333333333,0.31616503102015114
bird_counts,poisson+nb2+nb2,3,5.0,True,3,0,1258.8778438195586,1284.1174269809853,1696.9316665749502,-2.5730786694974603,inf,2.6253070286494965e+289,-inf,-9.875308872569618e+286,1.0,0.0,0.11739950173284165
