parameter,full_data_estimate,bootstrap_mean,bootstrap_se,ci_lower,ci_upper,n_valid
beta_0_20,0.0,-0.006525161568715223,0.037046923977887426,-0.1292374092189776,0.0,500
beta_0_21,-0.3192552126538369,-0.11833439714095528,0.14762105600580613,-0.3686259079189047,0.14737396902281016,500
beta_0_22,0.0,-0.13540652185526625,0.1345721558468422,-0.3914150964492333,0.0,500
beta_0_23,0.0,-0.005223443635321823,0.02304032019796414,-0.09690661582315906,0.0,500
beta_0_24,0.0,0.02630759306746787,0.042421670228884434,0.0,0.12820014921042258,500
beta_0_25,0.0,0.0067147449362342185,0.5038434060812143,0.0,0.11477288985044637,500
beta_0_26,0.0,-0.0060462560040539445,0.026171755736976964,-0.09204994739116848,0.0,500
beta_0_27,0.0,0.0021769852450250243,0.01711310094889728,0.0,0.0,500
beta_0_28,0.0,-0.00289255447028742,0.010499514154723891,-0.035634936966471964,0.0,500
beta_0_29,0.0,0.06666106833112122,0.0604034467327615,0.0,0.17255853820707748,500
beta_0_30,0.0,-0.09451352508403452,0.3367084585839066,-1.3411755479874392,0.0,500
beta_0_31,0.0,-0.025056579544267477,0.12064467523815942,-0.140807113521203,0.0,500
beta_0_32,0.0,-0.010047001898236861,0.1301994942410827,-0.07332142667892777,0.0,500
beta_0_33,0.0,-0.012580682743729902,0.1197698510082349,-0.12062165491270743,0.0,500
beta_0_34,0.0,0.07581023482465353,0.06869339599756705,0.0,0.1827127400512415,500
beta_0_35,0.0,0.009024990122156703,0.0260058118603002,0.0,0.09419883639307698,500
beta_0_36,0.0,-0.006431655517561264,0.09251671892475817,0.0,0.0,500
beta_0_37,0.0,-0.0007732343853387451,0.012844203164620583,0.0,0.0,500
beta_0_38,0.0,0.04101941640055022,0.08729527720018065,0.0,0.2873002544329271,500
beta_0_39,0.0,-0.0005706114914621769,0.013449384583484963,0.0,0.0,500
beta_0_40,0.0,-0.0032014920526221317,0.024371795276454913,0.0,0.0,500
beta_0_41,0.0,-0.07647953878899576,0.3225689714848061,-0.4199599581043793,0.0,500
beta_0_42,0.0,-0.14577110559912942,0.3866688924171526,-1.590788156615753,0.0,500
beta_0_43,0.0,0.06835111238141482,0.07183609950788922,0.0,0.1841428933427614,500
beta_0_44,0.0,-0.0006562236613724186,0.016233561990491863,0.0,0.0,500
beta_0_45,0.0,-0.038043410004762225,0.2263340423173183,-0.5871565165221959,0.0,500
beta_0_46,0.0,-0.014508971532092716,0.05487043649048777,-0.19281226561123913,0.0,500
beta_0_47,0.2101429722117137,0.15213246641529649,0.05833110471135627,0.003081164458909373,0.2471122393650137,500
beta_0_48,0.0,-0.17302248007475232,0.10645576818843332,-0.3641283518633013,0.0,500
beta_0_49,0.0,-0.044294734432487916,0.15924650751733851,-0.22720429355135707,0.0,500
beta_0_50,0.0,-0.22026398859910418,0.1618739668205601,-0.46902722001161357,0.0,500
beta_0_51,0.0,-0.008422986523738395,0.08618105126050059,-0.044857048524657536,0.0,500
beta_0_52,0.0,-0.3630156480198405,0.6820374027148112,-1.9152873809811222,0.0,500
beta_0_53,0.0,-0.05372747209759194,0.215268166778994,-1.0525149369566797,0.0,500
beta_0_54,0.0,-0.142568523620773,0.3599174259457652,-1.0790980990261725,0.0,500
intercept_1,0.9135232450523226,0.5927423997310406,0.3133466685406936,-0.0675740253556232,1.0027807610519557,500
beta_1_1,0.0,-0.0237105369195706,0.09602198023805472,-0.3589921634781121,0.0,500
beta_1_2,0.0,0.0029850929246693957,0.026005242409253112,0.0,0.0,500
beta_1_3,0.0,-0.062230010666865135,0.17954216359765682,-0.6335847842828369,0.0,500
beta_1_4,0.0,0.0023195623500523073,0.026374866130083913,0.0,0.0,500
beta_1_5,0.0,0.09290921131153493,0.18726669661647796,0.0,0.6171541354006803,500
beta_1_6,0.0,0.0003624768008847353,0.006190368132880835,0.0,0.0,500
beta_1_7,0.0,0.008785147692651513,0.05122213297830739,0.0,0.21911888877037194,500
beta_1_8,0.0,0.0,0.0,0.0,0.0,500
beta_1_9,0.0,-0.025997894843112584,0.09374170793830604,-0.375015591264905,0.0,500
beta_1_10,0.0,-0.0029830901486875543,0.026709474594655846,0.0,0.0,500
beta_1_11,0.0,0.08127157907656118,0.12228111806675744,0.0,0.3524486392362342,500
beta_1_12,0.0,0.11842368650215779,0.14285076266267469,0.0,0.3905474010185701,500
beta_1_13,0.0,-0.004914444715034223,0.03324591446488278,0.0,0.0,500
beta_1_14,0.0,-0.010036925114247967,0.05019682726186215,-0.21324998515999075,0.0,500
beta_1_15,0.0,-0.0005824420601600081,0.013023800394728004,0.0,0.0,500
beta_1_16,0.0,-0.23021074953939044,0.30744568025187574,-0.8022180697751295,0.0,500
beta_1_17,0.0,-0.0036391205426841732,0.03134430652806891,0.0,0.0,500
beta_1_18,0.0,-0.010056452419045151,0.040306966073100144,-0.1591072420834064,0.0,500
beta_1_19,0.0,-0.0018803483901153916,0.016315366483410528,0.0,0.0,500
beta_1_20,0.0,0.0,0.0,0.0,0.0,500
beta_1_21,0.0,0.0,0.0,0.0,0.0,500
beta_1_22,0.0,0.0,0.0,0.0,0.0,500
beta_1_23,0.0,0.002816193817275188,0.0230494652303175,0.0,0.0,500
beta_1_24,0.0,0.0006062196851696072,0.013555484253377627,0.0,0.0,500
beta_1_25,0.0,0.01385506043949333,0.045824691832918,0.0,0.16306008046609227,500
beta_1_26,0.0,-0.008533812354301052,0.04529325378466541,-0.17059004439070397,0.0,500
beta_1_27,0.0,0.0012229098553244147,0.027345095668598243,0.0,0.0,500
beta_1_28,0.0,-0.010056454285211663,0.040306895208756965,-0.1591079740444906,0.0,500
beta_1_29,0.0,0.0,0.0,0.0,0.0,500
beta_1_30,0.0,0.0,0.0,0.0,0.0,500
beta_1_31,0.0,0.0,0.0,0.0,0.0,500
beta_1_32,0.0,-0.0025137768676274106,0.04379313784505124,0.0,0.0,500
beta_1_33,0.0,-0.0005521684553294769,0.012346862011477668,0.0,0.0,500
beta_1_34,0.0,0.0,0.0,0.0,0.0,500
beta_1_35,0.0,0.0014418738542525528,0.016213027045561657,0.0,0.0,500
beta_1_36,0.0,0.0,0.0,0.0,0.0,500
beta_1_37,0.0,0.0,0.0,0.0,0.0,500
beta_1_38,0.0,0.04119049084173876,0.11318908170750902,0.0,0.42740570572062264,500
beta_1_39,0.0,0.0004982795517114665,0.011141869494249607,0.0,0.0,500
