example_id,n,rank,K,families,bic,is_true_structure,is_equiv_structure
1,1500,10,3,student_t + skew_normal + gaussian,5747.285708287029,False,False
2,500,1,2,lognormal + gamma,1239.396367383167,True,True
2,500,2,2,lognormal + lognormal,1242.4998072862402,False,False
2,500,3,2,inverse_gaussian + lognormal,1250.2675195817762,False,False
2,500,4,2,lognormal + inverse_gaussian,1250.2675195817762,False,False
2,500,5,2,gamma + gamma,1267.5146581349575,False,False
2,500,6,2,gamma + lognormal,1270.0035193998333,True,True
2,500,7,2,gamma + inverse_gaussian,1272.2098980520725,False,False
2,500,8,2,inverse_gaussian + gamma,1272.2100834379291,False,False
2,500,9,3,inverse_gaussian + gamma + gamma,1273.2198909691779,False,False
2,500,10,3,gamma + inverse_gaussian + gamma,1273.2198920827143,False,False
2,1000,1,2,lognormal + gamma,2242.6413161219884,True,True
2,1000,2,2,gamma + lognormal,2242.6413161219884,True,True
2,1000,3,2,lognormal + lognormal,2244.844535290387,False,False
2,1000,4,2,inverse_gaussian + lognormal,2259.8259802591883,False,False
2,1000,5,2,lognormal + inverse_gaussian,2259.8259802591883,False,False
2,1000,6,3,gamma + inverse_gaussian + lognormal,2283.5769666484684,False,False
2,1000,7,3,lognormal + gamma + inverse_gaussian,2283.5769680847216,False,False
2,1000,8,3,inverse_gaussian + lognormal + gamma,2283.576968667115,False,False
2,1000,9,3,lognormal + inverse_gaussian + gamma,2283.6094778216175,False,False
2,1000,10,3,gamma + lognormal + gamma,2284.8459164255682,False,False
2,1500,1,2,gamma + lognormal,3388.974293767282,True,True
2,1500,2,2,lognormal + lognormal,3392.2873562465443,False,False
2,1500,3,2,inverse_gaussian + lognormal,3416.1918329690448,False,False
2,1500,4,2,lognormal + inverse_gaussian,3416.1918329690448,False,False
2,1500,5,3,lognormal + gamma + gamma,3433.7470567326195,False,False
2,1500,6,3,gamma + lognormal + gamma,3433.747058350274,False,False
2,1500,7,3,lognormal + lognormal + gamma,3436.682032551499,False,False
2,1500,8,3,gamma + lognormal + lognormal,3436.6820334105364,False,False
2,1500,9,3,gamma + lognormal + inverse_gaussian,3441.1429910184215,False,False
2,1500,10,3,lognormal + gamma + inverse_gaussian,3441.1429910184215,False,False
3,500,1,2,poisson + zip,2757.5405341271,False,False
3,500,2,2,zip + poisson,2757.74655344203,False,False
3,500,3,2,nb2 + nb2,2763.2653596180817,False,True
3,500,4,2,zip + nb2,2763.7633256562485,False,False
3,500,5,2,zip + zip,2763.808050248983,False,False
3,500,6,2,nb2 + zip,2766.053968333823,False,False
3,500,7,2,poisson + poisson,2771.551700450758,False,False
3,500,8,2,nb2 + poisson,2771.8440328607494,True,True
3,500,9,2,poisson + nb2,2771.890221675262,True,True
3,500,10,3,poisson + nb2 + poisson,2776.222069705455,False,False
3,1000,1,2,nb2 + nb2,5529.631596447949,False,True
3,1000,2,2,poisson + zip,5531.443138159494,False,False
3,1000,3,2,zip + poisson,5531.506352287298,False,False
3,1000,4,2,zip + nb2,5537.187010235673,False,False
3,1000,5,2,nb2 + zip,5538.16122212074,False,False
3,1000,6,2,zip + zip,5538.35093385864,False,False
3,1000,7,3,zip + poisson + zip,5554.504958406742,False,False
3,1000,8,2,poisson + poisson,5558.058774966502,False,False
3,1000,9,3,poisson + nb2 + poisson,5563.669860115104,False,False
3,1000,10,3,nb2 + nb2 + poisson,5563.705957163057,False,False
3,1500,1,2,nb2 + nb2,8193.789119083729,False,True
3,1500,2,2,poisson + zip,8207.224124602371,False,False
3,1500,3,2,zip + poisson,8207.495841333313,False,False
3,1500,4,2,zip + nb2,8213.305474660223,False,False
3,1500,5,2,zip + zip,8214.434680575236,False,False
3,1500,6,2,nb2 + zip,8214.63872637904,False,False
3,1500,7,3,zip + poisson + poisson,8221.097055909358,False,False
3,1500,8,3,nb2 + poisson + nb2,8238.722269506361,False,False
3,1500,9,3,poisson + nb2 + nb2,8238.86239302889,False,False
3,1500,10,3,nb2 + nb2 + poisson,8239.397814370055,False,False
4,500,1,2,poisson + zip,2462.550959558095,True,True
4,500,2,2,zip + poisson,2462.59470030378,True,True
4,500,3,2,nb2 + zip,2468.348036815878,False,False
4,500,4,2,zip + nb2,2468.417326582745,False,False
4,500,5,2,zip + zip,2468.76569141892,False,True
4,500,6,2,nb2 + nb2,2481.7392105178196,False,False
4,500,7,2,poisson + poisson,2483.1524149669804,False,False
4,500,8,2,poisson + nb2,2487.006934370375,False,False
4,500,9,2,nb2 + poisson,2487.0808115720233,False,False
4,500,10,3,poisson + nb2 + nb2,2493.1815992983143,False,False
4,1000,1,2,zip + poisson,4921.707005184935,True,True
4,1000,2,2,poisson + zip,4921.77501778116,True,True
4,1000,3,2,nb2 + zip,4928.548432069489,False,False
4,1000,4,2,zip + zip,4928.563991743215,False,True
