scenario,example_id,seed,penalty,lambda,l1_ratio,bic,test_ll,time,tpr,fpr,fdr,fnr,mse,selected_size,active_size,tp,fp,fn,tn
B,2,102,lasso,200.0,,2571.4333578806863,-1.1580036884038736,1.4572970867156982,0.6,0.0,0.0,0.4,0.01887624714342086,6,10,6,0,4,30
B,2,102,enet,1.0,0.5,2620.651467411264,-1.1657518580508017,1.0324556827545166,1.0,0.9666666666666667,0.7435897435897436,0.0,0.00793549835683493,39,10,10,29,0,1
B,2,102,enet,2.0,0.5,2613.7835244843964,-1.1649898913391916,1.023491621017456,1.0,0.9333333333333333,0.7368421052631579,0.0,0.00790301399770523,38,10,10,28,0,2
B,2,102,enet,5.0,0.5,2614.0329824153773,-1.16270302792687,1.048865556716919,1.0,0.9333333333333333,0.7368421052631579,0.0,0.007828623165653123,38,10,10,28,0,2
B,2,102,enet,10.0,0.5,2614.8843684788476,-1.1591961008534468,1.1232974529266357,1.0,0.9333333333333333,0.7368421052631579,0.0,0.007695304668848691,38,10,10,28,0,2
B,2,102,enet,20.0,0.5,2611.235114540401,-1.152788928278561,1.1300828456878662,1.0,0.9,0.7297297297297297,0.0,0.007600520955203688,37,10,10,27,0,3
B,2,102,enet,50.0,0.5,2602.2159630679525,-1.1400993844463232,1.2802860736846924,1.0,0.7333333333333334,0.6875,0.0,0.007864876224654288,32,10,10,22,0,8
B,2,102,enet,100.0,0.5,2605.60847796677,-1.1390606954187292,1.379697322845459,1.0,0.5333333333333333,0.6153846153846154,0.0,0.010860370065916745,26,10,10,16,0,14
B,2,102,enet,200.0,0.5,2592.184102882907,-1.156279905241778,1.5643815994262695,0.7,0.13333333333333333,0.36363636363636365,0.3,0.018737420763247734,11,10,7,4,3,26
B,4,104,none,0.0,,5179.2504156329305,-2.443667402762323,5.918715953826904,1.0,1.0,0.75,0.0,0.00763754881814992,40,10,10,30,0,0
B,4,104,lasso,1.0,,5179.354697737829,-2.4411023031330044,5.705382585525513,1.0,1.0,0.75,0.0,0.0070816352712252196,40,10,10,30,0,0
B,4,104,lasso,2.0,,5172.663861370463,-2.441703241241428,5.705021381378174,1.0,0.9666666666666667,0.7435897435897436,0.0,0.006753940847644862,39,10,10,29,0,1
B,4,104,lasso,5.0,,5181.562750183072,-2.4331002252639955,5.329697608947754,1.0,1.0,0.75,0.0,0.005163792029729428,40,10,10,30,0,0
B,4,104,lasso,10.0,,5160.622507947655,-2.421643990398101,5.212961912155151,1.0,0.8666666666666667,0.7222222222222222,0.0,0.0033122345209068106,36,10,10,26,0,4
B,4,104,lasso,20.0,,5130.674304840353,-2.4060831107831357,4.8653929233551025,1.0,0.6333333333333333,0.6551724137931034,0.0,0.0009902240741710537,29,10,10,19,0,11
B,4,104,lasso,50.0,,5098.188050057529,-2.410099900553295,4.326942682266235,1.0,0.3,0.47368421052631576,0.0,0.0033672160162974193,19,10,10,9,0,21
B,4,104,lasso,100.0,,5144.583667877036,-2.4455706311636285,4.617923974990845,1.0,0.03333333333333333,0.09090909090909091,0.0,0.013322217768905074,11,10,10,1,0,29
B,4,104,lasso,200.0,,5347.461419496649,-2.5402271145069286,4.286960124969482,0.8,0.0,0.0,0.2,0.031122225253489774,8,10,8,0,2,30
B,4,104,enet,1.0,0.5,5179.298462262045,-2.4421154422195257,5.862203359603882,1.0,1.0,0.75,0.0,0.007278469956262968,40,10,10,30,0,0
B,4,104,enet,2.0,0.5,5179.403183378506,-2.440713689104633,5.6700239181518555,1.0,1.0,0.75,0.0,0.0069534089449538455,40,10,10,30,0,0
B,4,104,enet,5.0,0.5,5173.358995094153,-2.4393753019512765,5.500320672988892,1.0,0.9666666666666667,0.7435897435897436,0.0,0.00615277932748978,39,10,10,29,0,1
B,4,104,enet,10.0,0.5,5182.480998926647,-2.4316214594974666,5.356084585189819,1.0,1.0,0.75,0.0,0.0047972666011091925,40,10,10,30,0,0
B,4,104,enet,20.0,0.5,5178.528647194113,-2.4183773646015343,5.106634616851807,1.0,0.9333333333333333,0.7368421052631579,0.0,0.002712562840931561,38,10,10,28,0,2
B,4,104,enet,50.0,0.5,5138.634685469121,-2.4080143122613524,4.775076627731323,1.0,0.6,0.6428571428571429,0.0,0.0017559928649251947,28,10,10,18,0,12
B,4,104,enet,100.0,0.5,5116.954310121927,-2.4202860850082932,4.731857776641846,1.0,0.3,0.47368421052631576,0.0,0.005683604740379286,19,10,10,9,0,21
B,4,104,enet,200.0,0.5,5185.66962754784,-2.465956422989119,4.552120923995972,1.0,0.06666666666666667,0.16666666666666666,0.0,0.01700239321157162,12,10,10,2,0,28
B,1,201,none,0.0,,4057.572437609947,-1.912380070132435,0.933802604675293,1.0,1.0,0.75,0.0,0.004243282457801885,40,10,10,30,0,0
B,1,201,lasso,1.0,,4050.9111792786616,-1.9112283494352469,0.8868434429168701,1.0,0.9666666666666667,0.7435897435897436,0.0,0.0039757144667130085,39,10,10,29,0,1
B,1,201,lasso,2.0,,4051.4672029524663,-1.91020684574979,0.875964879989624,1.0,0.9666666666666667,0.7435897435897436,0.0,0.003743770824067967,39,10,10,29,0,1
B,1,201,lasso,5.0,,4033.979479378135,-1.9078961555724478,0.840463399887085,1.0,0.8666666666666667,0.7222222222222222,0.0,0.003298340036135528,36,10,10,26,0,4
B,1,201,lasso,10.0,,4003.205890077159,-1.9069130883133778,0.8127388954162598,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0033717207376906502,30,10,10,20,0,10
B,1,201,lasso,20.0,,3962.159092746011,-1.9127361011063775,0.825498104095459,1.0,0.3333333333333333,0.5,0.0,0.006072814348078947,20,10,10,10,0,20
B,1,201,lasso,50.0,,4229.3862229351025,-2.0957832310927613,0.5933375358581543,0.5,0.0,0.0,0.5,0.12473009810186397,5,10,5,0,5,30
B,1,201,lasso,100.0,,4365.960083491239,-2.161113026345654,0.5334115028381348,0.30000000000000004,0.0,0.0,0.7,0.1628233481680525,3,10,3,0,7,30
B,1,201,lasso,200.0,,4374.2666691454315,-2.1674319422838733,0.2651500701904297,0.2,0.0,0.0,0.8,0.16638243316213677,2,10,2,0,8,30
B,1,201,enet,1.0,0.5,4050.799092013981,-1.9117983209380458,0.894730806350708,1.0,0.9666666666666667,0.7435897435897436,0.0,0.004118607621097743,39,10,10,29,0,1
B,1,201,enet,2.0,0.5,4051.0613646922975,-1.9112559372955038,0.8764133453369141,1.0,0.9666666666666667,0.7435897435897436,0.0,0.004009251820867394,39,10,10,29,0,1
B,1,201,enet,5.0,0.5,4045.715194484735,-1.9100304487629822,0.842644453048706,1.0,0.9333333333333333,0.7368421052631579,0.0,0.003786466053422914,38,10,10,28,0,2
B,1,201,enet,10.0,0.5,4037.6397279485627,-1.909283813315139,0.7846693992614746,1.0,0.8666666666666667,0.7222222222222222,0.0,0.0038398508122946514,36,10,10,26,0,4
B,1,201,enet,20.0,0.5,4009.0030490853283,-1.9137691871221945,0.7880868911743164,1.0,0.6333333333333333,0.6551724137931034,0.0,0.005643963776490436,29,10,10,19,0,11
B,1,201,enet,50.0,0.5,4057.025301163103,-1.9814370774182322,0.8356294631958008,1.0,0.16666666666666666,0.3333333333333333,0.0,0.038060515702598774,15,10,10,5,0,25
B,1,201,enet,100.0,0.5,4273.853416896543,-2.118882225914052,0.8138120174407959,0.4,0.0,0.0,0.6,0.14250555375244478,4,10,4,0,6,30
B,1,201,enet,200.0,0.5,4375.802970962289,-2.165279570976539,0.33207225799560547,0.30000000000000004,0.0,0.0,0.7,0.16527119017172076,3,10,3,0,7,30
B,2,202,none,0.0,,2410.1958163050126,-1.1271553696640046,1.1878714561462402,1.0,1.0,0.75,0.0,0.0007695284139210591,40,10,10,30,0,0
B,2,202,lasso,1.0,,2403.348663005314,-1.1267203546818887,1.317772388458252,1.0,0.9333333333333333,0.7368421052631579,0.0,0.000721328086772166,38,10,10,28,0,2
B,2,202,lasso,2.0,,2396.615747671055,-1.126344095521396,1.3054218292236328,1.0,0.8666666666666667,0.7222222222222222,0.0,0.0006869439883657722,36,10,10,26,0,4
B,2,202,lasso,5.0,,2370.029909299686,-1.1255955792144818,1.3585054874420166,1.0,0.8,0.7058823529411765,0.0,0.0006540973055088021,34,10,10,24,0,6
B,2,202,lasso,10.0,,2352.731040527339,-1.1256208038716184,1.3632347583770752,1.0,0.7,0.6774193548387096,0.0,0.0007627410567235337,31,10,10,21,0,9
